id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1371068,Appartement,300000.0,7.0,RUE CIVIALE,75010.0,26.0,2.0,2.375425,48.87246
2022-1369371,Appartement,350000.0,121.0,RUE DU FBG DU TEMPLE,75010.0,32.0,2.0,2.374573,48.871773
2022-1372422,Appartement,310000.0,32.0,RUE BUISSON ST LOUIS,75010.0,30.0,2.0,2.374994,48.873281
2022-1393504,Appartement,255000.0,20.0,RUE LOUIS BONNET,75011.0,34.0,2.0,2.376975,48.871617
2022-1364625,Appartement,289825.0,24.0,RUE BUISSON ST LOUIS,75010.0,27.0,2.0,2.374538,48.872566
2022-1384556,Appartement,250000.0,15.0,RUE DE LA PRESENTATION,75011.0,32.0,2.0,2.376043,48.871207
2022-1373343,Appartement,373200.0,121.0,RUE DU FBG DU TEMPLE,75010.0,35.0,2.0,2.374573,48.871773
2022-1386292,Appartement,300000.0,108.0,RUE DU FAUBOURG DU TEMPLE,75011.0,34.0,2.0,2.375727,48.871091
2022-1371916,Appartement,371700.0,29.0,BD DE LA VILLETTE,75010.0,32.0,2.0,2.374504,48.873706
2022-1355844,Appartement,470000.0,24.0,RUE BUISSON ST LOUIS,75010.0,25.0,2.0,2.374538,48.872566
